2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.numHeapArenas: 8
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.numDirectArenas: 8
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.pageSize: 8192
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.maxOrder: 9
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.chunkSize: 4194304
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.smallCacheSize: 256
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.normalCacheSize: 64
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.maxCachedBufferCapacity: 32768
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.cacheTrimInterval: 8192
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.cacheTrimIntervalMillis: 0
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.useCacheForAllThreads: false
2023-01-14 15:14:05,015 [DEBUG] io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
2023-01-14 15:14:05,032 [DEBUG] io.netty.buffer.ByteBufUtil  - -Dio.netty.allocator.type: pooled
2023-01-14 15:14:05,032 [DEBUG] io.netty.buffer.ByteBufUtil  - -Dio.netty.threadLocalDirectBufferSize: 0
2023-01-14 15:14:05,032 [DEBUG] io.netty.buffer.ByteBufUtil  - -Dio.netty.maxThreadLocalCharBufferSize: 16384
2023-01-14 15:14:05,412 [DEBUG] io.netty.channel.DefaultChannelId  - -Dio.netty.processId: 34636 (auto-detected)
2023-01-14 15:14:05,412 [DEBUG] io.netty.util.NetUtil  - -Djava.net.preferIPv4Stack: false
2023-01-14 15:14:05,412 [DEBUG] io.netty.util.NetUtil  - -Djava.net.preferIPv6Addresses: false
2023-01-14 15:14:05,541 [DEBUG] io.netty.util.NetUtilInitializations  - Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
2023-01-14 15:14:05,541 [DEBUG] io.netty.util.NetUtil  - Failed to get SOMAXCONN from sysctl and file \proc\sys\net\core\somaxconn. Default: 200
2023-01-14 15:14:05,685 [DEBUG] io.netty.channel.DefaultChannelId  - -Dio.netty.machineId: a4:97:b1:ff:fe:cd:78:df (auto-detected)
2023-01-14 15:14:05,733 [DEBUG] io.netty.buffer.AbstractByteBuf  - -Dio.netty.buffer.checkAccessible: true
2023-01-14 15:14:05,733 [DEBUG] io.netty.buffer.AbstractByteBuf  - -Dio.netty.buffer.checkBounds: true
2023-01-14 15:14:05,733 [DEBUG] io.netty.util.ResourceLeakDetectorFactory  - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@22797eba
2023-01-14 15:14:05,750 [DEBUG] io.netty.util.Recycler  - -Dio.netty.recycler.maxCapacityPerThread: 4096
2023-01-14 15:14:05,750 [DEBUG] io.netty.util.Recycler  - -Dio.netty.recycler.ratio: 8
2023-01-14 15:14:05,750 [DEBUG] io.netty.util.Recycler  - -Dio.netty.recycler.chunkSize: 32
2023-01-14 15:14:05,750 [DEBUG] io.netty.util.Recycler  - -Dio.netty.recycler.blocking: false
2023-01-14 15:14:06,584 [DEBUG] io.netty.handler.codec.compression.Brotli  - brotli4j not in the classpath; Brotli support will be unavailable.
2023-01-14 15:14:06,799 [DEBUG] io.netty.util.internal.ThreadLocalRandom  - -Dio.netty.initialSeedUniquifier: 0x6678957ebccedb21
